Time_s   F0_Hz
0.024333   177.673802
0.034333   179.236977
0.044333   177.400273
0.054333   176.850347
0.064333   177.775314
0.074333   177.790520
0.084333   178.245733
0.094333   177.354393
0.104333   177.709847
0.114333   177.828794
0.124333   177.428211
0.134333   133.098500
0.144333   132.365760
0.154333   132.776478
0.164333   133.713605
0.174333   133.004124
0.184333   --undefined--
0.194333   --undefined--
0.204333   498.997101
0.214333   471.489359
0.224333   474.767446
0.234333   477.121584
0.244333   478.794514
0.254333   478.203590
0.264333   477.648594
0.274333   477.164570
0.284333   477.505615
0.294333   478.220090
0.304333   476.995702
0.314333   475.180311
0.324333   476.525943
0.334333   480.234182
0.344333   --undefined--
0.354333   --undefined--
0.364333   --undefined--
0.374333   --undefined--
0.384333   --undefined--
0.394333   --undefined--
0.404333   --undefined--
0.414333   --undefined--
0.424333   --undefined--
0.434333   --undefined--
0.444333   --undefined--
0.454333   --undefined--
0.464333   --undefined--
0.474333   569.017923
0.484333   542.132279
0.494333   531.638615
0.504333   536.062296
0.514333   539.257283
0.524333   540.662123
0.534333   533.107088
0.544333   530.919357
0.554333   535.245398
0.564333   532.755124
0.574333   531.491949
0.584333   533.860372
0.594333   533.211338
0.604333   532.997371
0.614333   532.194768
0.624333   533.031093
0.634333   532.891148
0.644333   534.216489
0.654333   533.841108
0.664333   531.083388
0.674333   531.718367
0.684333   533.485381
0.694333   533.367059
0.704333   532.363510
0.714333   --undefined--
0.724333   --undefined--
0.734333   --undefined--
0.744333   --undefined--
0.754333   --undefined--
0.764333   --undefined--
0.774333   --undefined--
0.784333   --undefined--
0.794333   --undefined--
0.804333   --undefined--
0.814333   --undefined--
0.824333   --undefined--
0.834333   --undefined--
0.844333   --undefined--
0.854333   --undefined--
0.864333   --undefined--
0.874333   --undefined--
0.884333   --undefined--
0.894333   --undefined--
0.904333   --undefined--
0.914333   --undefined--
0.924333   --undefined--
0.934333   --undefined--
0.944333   --undefined--
0.954333   --undefined--
0.964333   --undefined--
0.974333   --undefined--
0.984333   --undefined--
0.994333   --undefined--
1.004333   --undefined--
1.014333   --undefined--
1.024333   --undefined--
1.034333   --undefined--
1.044333   --undefined--
1.054333   --undefined--
1.064333   --undefined--
1.074333   --undefined--
1.084333   --undefined--
1.094333   --undefined--
1.104333   --undefined--
1.114333   --undefined--
1.124333   --undefined--
1.134333   --undefined--
1.144333   --undefined--
1.154333   --undefined--
1.164333   --undefined--
1.174333   --undefined--
1.184333   --undefined--
1.194333   --undefined--
1.204333   --undefined--
1.214333   --undefined--
1.224333   --undefined--
1.234333   --undefined--
1.244333   --undefined--
1.254333   --undefined--
1.264333   --undefined--
1.274333   --undefined--
1.284333   --undefined--
1.294333   --undefined--
1.304333   --undefined--
1.314333   --undefined--
1.324333   --undefined--
1.334333   --undefined--
1.344333   --undefined--
1.354333   --undefined--
1.364333   --undefined--
1.374333   --undefined--
1.384333   --undefined--
1.394333   --undefined--
1.404333   --undefined--
1.414333   --undefined--
1.424333   --undefined--
1.434333   --undefined--
1.444333   --undefined--
1.454333   --undefined--
1.464333   --undefined--
1.474333   --undefined--
1.484333   --undefined--
1.494333   --undefined--
1.504333   --undefined--
1.514333   --undefined--
1.524333   --undefined--
1.534333   --undefined--
1.544333   --undefined--
1.554333   --undefined--
1.564333   --undefined--
1.574333   --undefined--
1.584333   --undefined--
1.594333   --undefined--
1.604333   --undefined--
1.614333   --undefined--
1.624333   --undefined--
1.634333   --undefined--
1.644333   --undefined--
1.654333   --undefined--
1.664333   --undefined--
1.674333   --undefined--
1.684333   --undefined--
1.694333   --undefined--
1.704333   --undefined--
1.714333   --undefined--
1.724333   --undefined--
1.734333   --undefined--
1.744333   --undefined--
1.754333   --undefined--
1.764333   --undefined--
1.774333   --undefined--
1.784333   --undefined--
1.794333   --undefined--
1.804333   --undefined--
1.814333   --undefined--
1.824333   --undefined--
1.834333   --undefined--
1.844333   --undefined--
1.854333   --undefined--
1.864333   --undefined--
1.874333   --undefined--
1.884333   --undefined--
1.894333   --undefined--
1.904333   --undefined--
1.914333   --undefined--
1.924333   --undefined--
1.934333   --undefined--
1.944333   --undefined--
1.954333   --undefined--
1.964333   --undefined--
1.974333   --undefined--
1.984333   --undefined--
1.994333   --undefined--
2.004333   --undefined--
2.014333   --undefined--
2.024333   --undefined--
2.034333   --undefined--
2.044333   --undefined--
2.054333   --undefined--
2.064333   --undefined--
2.074333   --undefined--
2.084333   --undefined--
2.094333   --undefined--
2.104333   --undefined--
2.114333   --undefined--
2.124333   --undefined--
2.134333   --undefined--
2.144333   --undefined--
2.154333   --undefined--
2.164333   --undefined--
2.174333   --undefined--
2.184333   --undefined--
2.194333   --undefined--
2.204333   --undefined--
2.214333   --undefined--
2.224333   --undefined--
2.234333   --undefined--
2.244333   --undefined--
2.254333   --undefined--
2.264333   --undefined--
2.274333   --undefined--
2.284333   --undefined--
2.294333   --undefined--
2.304333   --undefined--
2.314333   --undefined--
2.324333   --undefined--
2.334333   --undefined--
2.344333   --undefined--
2.354333   --undefined--
2.364333   --undefined--
2.374333   --undefined--
2.384333   --undefined--
2.394333   --undefined--
2.404333   --undefined--
2.414333   --undefined--
2.424333   --undefined--
2.434333   --undefined--
2.444333   --undefined--
2.454333   --undefined--
2.464333   --undefined--
2.474333   --undefined--
2.484333   --undefined--
2.494333   --undefined--
2.504333   --undefined--
2.514333   --undefined--
2.524333   --undefined--
2.534333   --undefined--
2.544333   --undefined--
2.554333   --undefined--
2.564333   --undefined--
2.574333   --undefined--
2.584333   --undefined--
2.594333   --undefined--
2.604333   --undefined--
2.614333   --undefined--
2.624333   --undefined--
2.634333   --undefined--
2.644333   --undefined--
2.654333   --undefined--
2.664333   --undefined--
2.674333   --undefined--
2.684333   --undefined--
2.694333   --undefined--
2.704333   --undefined--
2.714333   --undefined--
2.724333   543.200477
2.734333   533.017037
2.744333   535.703431
2.754333   538.698303
2.764333   541.495345
2.774333   535.497719
2.784333   529.953214
2.794333   534.198108
2.804333   533.909941
2.814333   530.871046
2.824333   533.827555
2.834333   533.708882
2.844333   533.102221
2.854333   532.799888
2.864333   532.888852
2.874333   532.496640
2.884333   533.770093
2.894333   534.692314
2.904333   531.536552
2.914333   530.842232
2.924333   532.871224
2.934333   534.059616
2.944333   532.855185
2.954333   --undefined--
2.964333   --undefined--
2.974333   526.419774
2.984333   479.264612
2.994333   472.349243
3.004333   478.099912
3.014333   479.408617
3.024333   480.292324
3.034333   479.201003
3.044333   479.051596
3.054333   479.488786
3.064333   478.921300
3.074333   480.147007
3.084333   477.166783
3.094333   477.676856
3.104333   --undefined--
3.114333   --undefined--
3.124333   --undefined--
3.134333   --undefined--
3.144333   --undefined--
3.154333   --undefined--
3.164333   --undefined--
3.174333   --undefined--
3.184333   --undefined--
3.194333   --undefined--
3.204333   --undefined--
3.214333   --undefined--
3.224333   547.030934
3.234333   532.849130
3.244333   535.250176
3.254333   538.300107
3.264333   541.112540
3.274333   536.205622
3.284333   530.993351
3.294333   537.571404
3.304333   535.575907
3.314333   530.900163
3.324333   534.462339
3.334333   534.850728
3.344333   533.037962
3.354333   531.720630
3.364333   532.170961
3.374333   533.024031
3.384333   534.424599
3.394333   534.270002
3.404333   531.487777
3.414333   530.690884
3.424333   533.239773
3.434333   533.463899
3.444333   533.187338
3.454333   --undefined--
3.464333   --undefined--
3.474333   --undefined--
3.484333   --undefined--
3.494333   --undefined--
3.504333   --undefined--
3.514333   --undefined--
3.524333   --undefined--
3.534333   --undefined--
3.544333   --undefined--
3.554333   --undefined--
3.564333   --undefined--
3.574333   --undefined--
3.584333   --undefined--
3.594333   --undefined--
3.604333   --undefined--
3.614333   --undefined--
3.624333   --undefined--
3.634333   --undefined--
3.644333   --undefined--
3.654333   --undefined--
3.664333   --undefined--
3.674333   --undefined--
3.684333   --undefined--
3.694333   --undefined--
3.704333   --undefined--
3.714333   --undefined--
3.724333   --undefined--
3.734333   --undefined--
3.744333   --undefined--
3.754333   --undefined--
3.764333   --undefined--
3.774333   --undefined--
3.784333   --undefined--
3.794333   --undefined--
3.804333   --undefined--
3.814333   --undefined--
3.824333   --undefined--
3.834333   --undefined--
3.844333   --undefined--
3.854333   --undefined--
3.864333   --undefined--
3.874333   --undefined--
3.884333   --undefined--
3.894333   --undefined--
3.904333   --undefined--
3.914333   --undefined--
3.924333   --undefined--
3.934333   --undefined--
3.944333   --undefined--
3.954333   --undefined--
3.964333   --undefined--
3.974333   --undefined--
3.984333   --undefined--
3.994333   --undefined--
4.004333   --undefined--
4.014333   --undefined--
4.024333   --undefined--
4.034333   --undefined--
4.044333   --undefined--
4.054333   --undefined--
4.064333   --undefined--
4.074333   --undefined--
4.084333   --undefined--
4.094333   --undefined--
4.104333   --undefined--
4.114333   --undefined--
4.124333   --undefined--
4.134333   --undefined--
4.144333   --undefined--
4.154333   --undefined--
4.164333   --undefined--
4.174333   --undefined--
4.184333   --undefined--
4.194333   --undefined--
4.204333   --undefined--
4.214333   --undefined--
4.224333   --undefined--
4.234333   --undefined--
4.244333   --undefined--
4.254333   --undefined--
4.264333   --undefined--
4.274333   --undefined--
4.284333   --undefined--
4.294333   --undefined--
4.304333   --undefined--
4.314333   --undefined--
4.324333   --undefined--
4.334333   --undefined--
4.344333   --undefined--
4.354333   --undefined--
4.364333   --undefined--
4.374333   --undefined--
4.384333   --undefined--
4.394333   --undefined--
4.404333   --undefined--
4.414333   --undefined--
4.424333   --undefined--
4.434333   --undefined--
4.444333   --undefined--
4.454333   --undefined--
4.464333   --undefined--
4.474333   --undefined--
4.484333   --undefined--
4.494333   --undefined--
4.504333   --undefined--
4.514333   --undefined--
4.524333   --undefined--
4.534333   --undefined--
4.544333   --undefined--
4.554333   --undefined--
4.564333   --undefined--
4.574333   --undefined--
4.584333   --undefined--
4.594333   --undefined--
4.604333   --undefined--
4.614333   --undefined--
4.624333   --undefined--
4.634333   --undefined--
4.644333   --undefined--
4.654333   --undefined--
4.664333   --undefined--
4.674333   --undefined--
4.684333   --undefined--
4.694333   --undefined--
4.704333   --undefined--
4.714333   --undefined--
4.724333   --undefined--
4.734333   --undefined--
4.744333   --undefined--
4.754333   --undefined--
4.764333   --undefined--
4.774333   --undefined--
4.784333   --undefined--
4.794333   --undefined--
4.804333   --undefined--
4.814333   --undefined--
4.824333   --undefined--
4.834333   --undefined--
4.844333   --undefined--
4.854333   --undefined--
4.864333   --undefined--
4.874333   --undefined--
4.884333   --undefined--
4.894333   --undefined--
4.904333   --undefined--
4.914333   --undefined--
4.924333   --undefined--
4.934333   --undefined--
4.944333   --undefined--
4.954333   --undefined--
4.964333   --undefined--
4.974333   --undefined--
4.984333   --undefined--
4.994333   --undefined--
5.004333   --undefined--
5.014333   --undefined--
5.024333   --undefined--
5.034333   157.744156
5.044333   157.326446
5.054333   157.529647
5.064333   157.679611
5.074333   158.164096
5.084333   --undefined--
5.094333   --undefined--
5.104333   --undefined--
5.114333   --undefined--
5.124333   --undefined--
5.134333   --undefined--
5.144333   --undefined--
5.154333   --undefined--
5.164333   --undefined--
5.174333   --undefined--
5.184333   --undefined--
5.194333   --undefined--
5.204333   --undefined--
5.214333   --undefined--
5.224333   --undefined--
5.234333   --undefined--
5.244333   --undefined--
5.254333   --undefined--
5.264333   --undefined--
5.274333   --undefined--
5.284333   --undefined--
5.294333   --undefined--
5.304333   --undefined--
5.314333   --undefined--
5.324333   --undefined--
5.334333   --undefined--
5.344333   --undefined--
5.354333   --undefined--
5.364333   --undefined--
5.374333   --undefined--
5.384333   --undefined--
5.394333   --undefined--
5.404333   --undefined--
5.414333   --undefined--
5.424333   --undefined--
5.434333   --undefined--
5.444333   --undefined--
5.454333   --undefined--
5.464333   --undefined--
5.474333   --undefined--
5.484333   --undefined--
5.494333   --undefined--
5.504333   --undefined--
5.514333   --undefined--
5.524333   --undefined--
5.534333   --undefined--
5.544333   --undefined--
5.554333   --undefined--
5.564333   --undefined--
5.574333   --undefined--
5.584333   --undefined--
5.594333   --undefined--
5.604333   --undefined--
5.614333   --undefined--
5.624333   --undefined--
5.634333   --undefined--
5.644333   --undefined--
5.654333   --undefined--
5.664333   --undefined--
5.674333   --undefined--
5.684333   --undefined--
5.694333   --undefined--
5.704333   --undefined--
5.714333   --undefined--
5.724333   --undefined--
5.734333   --undefined--
5.744333   --undefined--
5.754333   --undefined--
5.764333   --undefined--
5.774333   --undefined--
5.784333   --undefined--
5.794333   --undefined--
5.804333   --undefined--
5.814333   --undefined--
5.824333   --undefined--
5.834333   --undefined--
5.844333   --undefined--
5.854333   --undefined--
5.864333   --undefined--
5.874333   --undefined--
5.884333   --undefined--
5.894333   --undefined--
5.904333   --undefined--
5.914333   --undefined--
5.924333   --undefined--
5.934333   --undefined--
5.944333   --undefined--
5.954333   --undefined--
5.964333   --undefined--
5.974333   --undefined--
5.984333   --undefined--
5.994333   --undefined--
6.004333   --undefined--
