Time_s   F0_Hz
0.021667   --undefined--
0.031667   --undefined--
0.041667   --undefined--
0.051667   --undefined--
0.061667   --undefined--
0.071667   --undefined--
0.081667   --undefined--
0.091667   --undefined--
0.101667   --undefined--
0.111667   --undefined--
0.121667   --undefined--
0.131667   --undefined--
0.141667   --undefined--
0.151667   --undefined--
0.161667   --undefined--
0.171667   --undefined--
0.181667   --undefined--
0.191667   --undefined--
0.201667   --undefined--
0.211667   --undefined--
0.221667   --undefined--
0.231667   --undefined--
0.241667   --undefined--
0.251667   --undefined--
0.261667   --undefined--
0.271667   --undefined--
0.281667   --undefined--
0.291667   --undefined--
0.301667   --undefined--
0.311667   --undefined--
0.321667   --undefined--
0.331667   --undefined--
0.341667   --undefined--
0.351667   --undefined--
0.361667   --undefined--
0.371667   152.554970
0.381667   148.407847
0.391667   --undefined--
0.401667   --undefined--
0.411667   --undefined--
0.421667   --undefined--
0.431667   --undefined--
0.441667   --undefined--
0.451667   --undefined--
0.461667   --undefined--
0.471667   --undefined--
0.481667   --undefined--
0.491667   141.643802
0.501667   140.378476
0.511667   138.714718
0.521667   --undefined--
0.531667   --undefined--
0.541667   --undefined--
0.551667   --undefined--
0.561667   141.013281
0.571667   140.040882
0.581667   139.679995
0.591667   139.893138
0.601667   139.891497
0.611667   140.159715
0.621667   140.064325
0.631667   139.330851
0.641667   138.091321
0.651667   --undefined--
0.661667   --undefined--
0.671667   --undefined--
0.681667   --undefined--
0.691667   --undefined--
0.701667   --undefined--
0.711667   --undefined--
0.721667   --undefined--
0.731667   --undefined--
0.741667   --undefined--
0.751667   --undefined--
0.761667   --undefined--
0.771667   144.040831
0.781667   143.686503
0.791667   143.047329
0.801667   141.302591
0.811667   139.333797
0.821667   --undefined--
0.831667   --undefined--
0.841667   --undefined--
0.851667   --undefined--
0.861667   --undefined--
0.871667   --undefined--
0.881667   --undefined--
0.891667   --undefined--
0.901667   --undefined--
0.911667   150.354551
0.921667   143.562713
0.931667   143.720113
0.941667   142.619412
0.951667   141.093620
0.961667   139.329018
0.971667   137.662607
0.981667   134.841129
0.991667   133.094658
1.001667   130.993175
1.011667   127.944016
1.021667   125.616302
1.031667   123.976844
1.041667   --undefined--
1.051667   --undefined--
1.061667   --undefined--
1.071667   --undefined--
1.081667   --undefined--
1.091667   --undefined--
1.101667   --undefined--
1.111667   --undefined--
1.121667   --undefined--
1.131667   --undefined--
1.141667   --undefined--
1.151667   --undefined--
1.161667   --undefined--
1.171667   --undefined--
1.181667   --undefined--
1.191667   --undefined--
1.201667   --undefined--
1.211667   --undefined--
1.221667   --undefined--
1.231667   --undefined--
1.241667   133.817049
1.251667   131.379513
1.261667   130.344493
1.271667   129.670718
1.281667   129.033538
1.291667   128.253476
1.301667   127.638278
1.311667   127.851193
1.321667   127.968156
1.331667   --undefined--
1.341667   --undefined--
1.351667   --undefined--
1.361667   --undefined--
1.371667   --undefined--
1.381667   --undefined--
1.391667   --undefined--
1.401667   --undefined--
1.411667   --undefined--
1.421667   --undefined--
1.431667   --undefined--
1.441667   --undefined--
1.451667   --undefined--
1.461667   --undefined--
1.471667   --undefined--
1.481667   --undefined--
1.491667   --undefined--
1.501667   --undefined--
1.511667   --undefined--
1.521667   --undefined--
1.531667   --undefined--
1.541667   --undefined--
1.551667   --undefined--
1.561667   --undefined--
1.571667   --undefined--
1.581667   --undefined--
1.591667   --undefined--
1.601667   --undefined--
1.611667   --undefined--
1.621667   --undefined--
1.631667   --undefined--
1.641667   --undefined--
1.651667   --undefined--
1.661667   --undefined--
1.671667   --undefined--
1.681667   --undefined--
1.691667   --undefined--
1.701667   --undefined--
1.711667   --undefined--
1.721667   --undefined--
1.731667   --undefined--
1.741667   --undefined--
1.751667   --undefined--
1.761667   --undefined--
1.771667   --undefined--
1.781667   --undefined--
1.791667   --undefined--
1.801667   --undefined--
1.811667   --undefined--
1.821667   --undefined--
1.831667   --undefined--
1.841667   --undefined--
1.851667   --undefined--
1.861667   --undefined--
1.871667   --undefined--
1.881667   --undefined--
1.891667   --undefined--
1.901667   223.720486
1.911667   214.542412
1.921667   217.929182
1.931667   --undefined--
1.941667   191.002571
1.951667   191.828149
1.961667   200.987462
1.971667   216.611156
1.981667   217.233565
1.991667   219.222050
2.001667   221.869779
2.011667   225.539533
2.021667   229.200989
2.031667   234.279754
2.041667   231.647394
2.051667   224.313336
2.061667   224.727238
2.071667   238.517102
2.081667   270.250993
2.091667   267.409153
2.101667   262.910141
2.111667   263.099831
2.121667   267.350105
2.131667   --undefined--
2.141667   --undefined--
2.151667   --undefined--
2.161667   --undefined--
2.171667   --undefined--
2.181667   --undefined--
2.191667   --undefined--
2.201667   --undefined--
2.211667   --undefined--
2.221667   --undefined--
2.231667   --undefined--
2.241667   --undefined--
2.251667   --undefined--
2.261667   --undefined--
2.271667   --undefined--
2.281667   --undefined--
2.291667   --undefined--
2.301667   --undefined--
2.311667   --undefined--
2.321667   --undefined--
2.331667   --undefined--
2.341667   --undefined--
2.351667   --undefined--
2.361667   --undefined--
2.371667   --undefined--
2.381667   --undefined--
2.391667   --undefined--
2.401667   106.415792
2.411667   100.985501
2.421667   95.877715
2.431667   95.531507
2.441667   95.137777
2.451667   95.483062
2.461667   92.249557
2.471667   91.959904
2.481667   91.677398
2.491667   91.129145
2.501667   89.786472
2.511667   87.938121
2.521667   87.209576
2.531667   87.593679
2.541667   87.623648
2.551667   88.952624
2.561667   191.273468
2.571667   201.371108
2.581667   198.221493
2.591667   192.105399
2.601667   191.689423
2.611667   189.603339
2.621667   186.926920
2.631667   183.828849
2.641667   178.849214
2.651667   168.056599
2.661667   160.321192
2.671667   146.842842
2.681667   138.824976
2.691667   129.327348
2.701667   126.480746
2.711667   126.647634
2.721667   126.699693
2.731667   126.513231
2.741667   --undefined--
2.751667   --undefined--
2.761667   --undefined--
2.771667   --undefined--
2.781667   --undefined--
2.791667   --undefined--
2.801667   --undefined--
2.811667   --undefined--
2.821667   --undefined--
2.831667   --undefined--
2.841667   79.002361
2.851667   78.296743
2.861667   145.639223
2.871667   141.781152
2.881667   142.260322
2.891667   141.904838
2.901667   141.050111
2.911667   141.394062
2.921667   135.833530
2.931667   132.479106
2.941667   132.039418
2.951667   133.892689
2.961667   132.383510
2.971667   131.718630
2.981667   137.369515
2.991667   140.274706
3.001667   137.888505
3.011667   142.080541
3.021667   138.381774
3.031667   135.417389
3.041667   134.647359
3.051667   --undefined--
3.061667   --undefined--
3.071667   --undefined--
3.081667   --undefined--
3.091667   --undefined--
3.101667   --undefined--
3.111667   --undefined--
3.121667   --undefined--
3.131667   --undefined--
3.141667   --undefined--
3.151667   --undefined--
3.161667   --undefined--
3.171667   --undefined--
3.181667   --undefined--
3.191667   --undefined--
3.201667   --undefined--
3.211667   --undefined--
3.221667   --undefined--
3.231667   --undefined--
3.241667   --undefined--
3.251667   --undefined--
3.261667   --undefined--
3.271667   --undefined--
3.281667   --undefined--
3.291667   --undefined--
3.301667   --undefined--
3.311667   --undefined--
3.321667   --undefined--
3.331667   --undefined--
3.341667   --undefined--
3.351667   --undefined--
3.361667   --undefined--
3.371667   --undefined--
3.381667   --undefined--
3.391667   --undefined--
3.401667   --undefined--
3.411667   --undefined--
3.421667   --undefined--
3.431667   --undefined--
3.441667   --undefined--
3.451667   135.418292
3.461667   130.912111
3.471667   127.449719
3.481667   125.562028
3.491667   127.911429
3.501667   --undefined--
3.511667   --undefined--
3.521667   --undefined--
3.531667   --undefined--
3.541667   --undefined--
3.551667   --undefined--
3.561667   130.515896
3.571667   128.188929
3.581667   --undefined--
3.591667   --undefined--
3.601667   --undefined--
3.611667   --undefined--
3.621667   --undefined--
3.631667   --undefined--
3.641667   --undefined--
3.651667   --undefined--
3.661667   --undefined--
3.671667   --undefined--
3.681667   --undefined--
3.691667   --undefined--
3.701667   119.945878
3.711667   118.190258
3.721667   116.636741
3.731667   --undefined--
3.741667   --undefined--
3.751667   --undefined--
3.761667   --undefined--
3.771667   --undefined--
3.781667   --undefined--
3.791667   --undefined--
3.801667   --undefined--
3.811667   --undefined--
3.821667   --undefined--
3.831667   --undefined--
3.841667   --undefined--
3.851667   --undefined--
3.861667   --undefined--
3.871667   --undefined--
3.881667   --undefined--
3.891667   --undefined--
3.901667   --undefined--
3.911667   --undefined--
3.921667   --undefined--
3.931667   --undefined--
3.941667   --undefined--
3.951667   --undefined--
3.961667   --undefined--
3.971667   --undefined--
3.981667   --undefined--
3.991667   --undefined--
4.001667   --undefined--
4.011667   --undefined--
4.021667   --undefined--
4.031667   --undefined--
4.041667   --undefined--
4.051667   --undefined--
4.061667   --undefined--
4.071667   --undefined--
4.081667   --undefined--
4.091667   --undefined--
4.101667   --undefined--
4.111667   --undefined--
4.121667   --undefined--
4.131667   --undefined--
4.141667   --undefined--
4.151667   --undefined--
4.161667   --undefined--
4.171667   --undefined--
4.181667   --undefined--
4.191667   --undefined--
4.201667   --undefined--
4.211667   --undefined--
4.221667   --undefined--
4.231667   --undefined--
4.241667   --undefined--
4.251667   --undefined--
4.261667   --undefined--
4.271667   --undefined--
4.281667   --undefined--
4.291667   --undefined--
4.301667   --undefined--
4.311667   --undefined--
4.321667   --undefined--
4.331667   --undefined--
4.341667   --undefined--
4.351667   --undefined--
4.361667   --undefined--
4.371667   --undefined--
4.381667   --undefined--
4.391667   --undefined--
4.401667   --undefined--
4.411667   --undefined--
4.421667   --undefined--
4.431667   --undefined--
4.441667   --undefined--
4.451667   --undefined--
4.461667   --undefined--
4.471667   --undefined--
4.481667   --undefined--
4.491667   --undefined--
4.501667   --undefined--
4.511667   --undefined--
4.521667   --undefined--
4.531667   --undefined--
4.541667   384.962168
4.551667   375.508560
4.561667   369.397058
4.571667   --undefined--
4.581667   --undefined--
4.591667   --undefined--
4.601667   --undefined--
4.611667   --undefined--
4.621667   --undefined--
4.631667   --undefined--
4.641667   --undefined--
4.651667   --undefined--
4.661667   --undefined--
4.671667   --undefined--
4.681667   --undefined--
4.691667   --undefined--
4.701667   --undefined--
4.711667   --undefined--
4.721667   --undefined--
4.731667   --undefined--
4.741667   --undefined--
4.751667   --undefined--
4.761667   --undefined--
4.771667   --undefined--
4.781667   --undefined--
4.791667   --undefined--
4.801667   --undefined--
4.811667   --undefined--
4.821667   --undefined--
4.831667   --undefined--
4.841667   --undefined--
4.851667   --undefined--
4.861667   --undefined--
4.871667   --undefined--
4.881667   --undefined--
4.891667   --undefined--
4.901667   --undefined--
4.911667   --undefined--
4.921667   146.705966
4.931667   151.637711
4.941667   155.353662
4.951667   158.844157
4.961667   163.153893
4.971667   165.939513
4.981667   168.898584
4.991667   169.984311
5.001667   169.499299
5.011667   168.179374
5.021667   165.796551
5.031667   162.376493
5.041667   160.144967
5.051667   157.978423
5.061667   156.843804
5.071667   154.501620
5.081667   153.440874
5.091667   151.217919
5.101667   149.698323
5.111667   149.887358
5.121667   149.892449
5.131667   --undefined--
5.141667   --undefined--
5.151667   --undefined--
5.161667   --undefined--
5.171667   --undefined--
5.181667   169.025355
5.191667   167.757113
5.201667   168.299868
5.211667   168.908048
5.221667   168.712211
5.231667   --undefined--
5.241667   --undefined--
5.251667   --undefined--
5.261667   163.457428
5.271667   163.864017
5.281667   161.842366
5.291667   159.860373
5.301667   157.220273
5.311667   154.991579
5.321667   153.129570
5.331667   --undefined--
5.341667   --undefined--
5.351667   --undefined--
5.361667   --undefined--
5.371667   --undefined--
5.381667   --undefined--
5.391667   --undefined--
5.401667   --undefined--
5.411667   --undefined--
5.421667   --undefined--
5.431667   --undefined--
5.441667   --undefined--
5.451667   --undefined--
5.461667   --undefined--
5.471667   --undefined--
5.481667   --undefined--
5.491667   --undefined--
5.501667   --undefined--
5.511667   --undefined--
5.521667   --undefined--
5.531667   --undefined--
5.541667   --undefined--
5.551667   --undefined--
5.561667   --undefined--
5.571667   --undefined--
5.581667   --undefined--
5.591667   --undefined--
5.601667   --undefined--
5.611667   --undefined--
5.621667   --undefined--
5.631667   --undefined--
5.641667   --undefined--
5.651667   --undefined--
5.661667   --undefined--
5.671667   --undefined--
5.681667   --undefined--
5.691667   162.123393
5.701667   161.772993
5.711667   160.966975
5.721667   159.241382
5.731667   157.554197
5.741667   153.817786
5.751667   150.334985
5.761667   147.497171
5.771667   --undefined--
5.781667   --undefined--
5.791667   --undefined--
5.801667   --undefined--
5.811667   --undefined--
5.821667   --undefined--
5.831667   --undefined--
5.841667   --undefined--
5.851667   --undefined--
5.861667   --undefined--
5.871667   --undefined--
5.881667   --undefined--
5.891667   --undefined--
5.901667   --undefined--
5.911667   --undefined--
5.921667   --undefined--
5.931667   --undefined--
5.941667   --undefined--
5.951667   --undefined--
5.961667   --undefined--
5.971667   --undefined--
5.981667   --undefined--
5.991667   --undefined--
6.001667   --undefined--
6.011667   --undefined--
6.021667   --undefined--
6.031667   --undefined--
6.041667   --undefined--
6.051667   --undefined--
6.061667   --undefined--
6.071667   --undefined--
6.081667   --undefined--
6.091667   --undefined--
6.101667   --undefined--
6.111667   --undefined--
6.121667   --undefined--
6.131667   --undefined--
6.141667   --undefined--
6.151667   --undefined--
6.161667   --undefined--
6.171667   --undefined--
6.181667   --undefined--
6.191667   --undefined--
6.201667   --undefined--
6.211667   --undefined--
6.221667   --undefined--
6.231667   --undefined--
6.241667   --undefined--
6.251667   --undefined--
6.261667   --undefined--
6.271667   --undefined--
6.281667   --undefined--
6.291667   --undefined--
6.301667   --undefined--
6.311667   --undefined--
6.321667   --undefined--
6.331667   171.838079
6.341667   169.671141
6.351667   170.645111
6.361667   168.996461
6.371667   166.737815
6.381667   167.154492
6.391667   166.499188
6.401667   163.825602
6.411667   159.996683
6.421667   158.301354
6.431667   157.730821
6.441667   157.475829
6.451667   159.439991
6.461667   169.770669
6.471667   168.354085
6.481667   168.077382
6.491667   168.261448
6.501667   167.320407
6.511667   164.171690
6.521667   159.127830
6.531667   152.550564
6.541667   146.793829
6.551667   142.572503
6.561667   138.487592
6.571667   135.884623
6.581667   133.559975
6.591667   133.294402
6.601667   133.019240
6.611667   131.876099
6.621667   --undefined--
6.631667   --undefined--
6.641667   --undefined--
6.651667   --undefined--
6.661667   --undefined--
6.671667   --undefined--
6.681667   --undefined--
6.691667   --undefined--
6.701667   --undefined--
6.711667   --undefined--
6.721667   --undefined--
6.731667   --undefined--
6.741667   --undefined--
6.751667   --undefined--
6.761667   --undefined--
6.771667   --undefined--
6.781667   --undefined--
6.791667   --undefined--
6.801667   108.461625
6.811667   112.132292
6.821667   112.320981
6.831667   113.670785
6.841667   114.870137
6.851667   116.391867
6.861667   117.643462
6.871667   118.458693
6.881667   118.152625
6.891667   116.125110
6.901667   113.460435
6.911667   114.395485
6.921667   114.783859
6.931667   114.589181
6.941667   113.911533
6.951667   112.865607
6.961667   111.231747
6.971667   110.889368
6.981667   109.287616
6.991667   107.819895
7.001667   103.692473
7.011667   101.140840
7.021667   101.537693
7.031667   104.063203
7.041667   --undefined--
7.051667   --undefined--
7.061667   --undefined--
7.071667   --undefined--
7.081667   --undefined--
7.091667   --undefined--
7.101667   --undefined--
7.111667   --undefined--
7.121667   --undefined--
7.131667   --undefined--
7.141667   --undefined--
7.151667   --undefined--
7.161667   --undefined--
7.171667   --undefined--
7.181667   --undefined--
7.191667   --undefined--
7.201667   --undefined--
7.211667   --undefined--
7.221667   --undefined--
7.231667   --undefined--
7.241667   --undefined--
7.251667   --undefined--
7.261667   --undefined--
7.271667   --undefined--
7.281667   --undefined--
7.291667   --undefined--
7.301667   --undefined--
7.311667   --undefined--
7.321667   --undefined--
7.331667   --undefined--
7.341667   --undefined--
7.351667   --undefined--
7.361667   --undefined--
7.371667   --undefined--
7.381667   --undefined--
7.391667   --undefined--
7.401667   --undefined--
7.411667   --undefined--
7.421667   --undefined--
7.431667   --undefined--
7.441667   --undefined--
7.451667   --undefined--
7.461667   --undefined--
7.471667   --undefined--
7.481667   --undefined--
7.491667   168.567988
7.501667   164.093803
7.511667   166.859567
7.521667   169.642062
7.531667   170.683997
7.541667   170.611241
7.551667   171.048293
7.561667   173.144501
7.571667   175.689254
7.581667   178.265393
7.591667   179.154427
7.601667   178.718255
7.611667   --undefined--
7.621667   96.384564
7.631667   96.517685
7.641667   96.646500
7.651667   --undefined--
7.661667   --undefined--
7.671667   --undefined--
7.681667   --undefined--
7.691667   --undefined--
7.701667   --undefined--
7.711667   --undefined--
7.721667   135.485823
7.731667   132.034469
7.741667   124.382324
7.751667   121.968483
7.761667   --undefined--
7.771667   --undefined--
7.781667   --undefined--
7.791667   --undefined--
7.801667   --undefined--
7.811667   --undefined--
7.821667   --undefined--
7.831667   127.738579
7.841667   127.388889
7.851667   121.552778
7.861667   109.974503
7.871667   108.645277
7.881667   109.793160
7.891667   111.469267
7.901667   112.970333
7.911667   115.613771
7.921667   117.767675
7.931667   119.787515
7.941667   122.960369
7.951667   126.799740
7.961667   130.000772
7.971667   131.532766
7.981667   131.272988
7.991667   131.500561
8.001667   130.124135
8.011667   126.405082
8.021667   126.308965
8.031667   126.258104
8.041667   123.625213
8.051667   121.590085
8.061667   120.346566
8.071667   118.912144
8.081667   116.087152
8.091667   112.944863
8.101667   113.004069
8.111667   113.339430
8.121667   114.147464
8.131667   114.046316
8.141667   --undefined--
8.151667   --undefined--
8.161667   --undefined--
8.171667   --undefined--
8.181667   125.068049
8.191667   127.435178
8.201667   130.974852
8.211667   125.509740
8.221667   125.308300
8.231667   124.226691
8.241667   122.773724
8.251667   120.246347
8.261667   119.274149
8.271667   --undefined--
8.281667   --undefined--
8.291667   --undefined--
8.301667   --undefined--
8.311667   --undefined--
8.321667   --undefined--
8.331667   --undefined--
8.341667   --undefined--
8.351667   --undefined--
8.361667   --undefined--
8.371667   --undefined--
8.381667   --undefined--
8.391667   --undefined--
8.401667   --undefined--
8.411667   --undefined--
8.421667   --undefined--
8.431667   --undefined--
8.441667   --undefined--
8.451667   --undefined--
8.461667   --undefined--
8.471667   --undefined--
8.481667   --undefined--
8.491667   --undefined--
8.501667   --undefined--
8.511667   --undefined--
8.521667   --undefined--
8.531667   --undefined--
8.541667   --undefined--
8.551667   --undefined--
8.561667   --undefined--
8.571667   --undefined--
8.581667   --undefined--
8.591667   --undefined--
8.601667   --undefined--
8.611667   --undefined--
8.621667   --undefined--
8.631667   --undefined--
8.641667   --undefined--
8.651667   --undefined--
8.661667   --undefined--
8.671667   --undefined--
8.681667   --undefined--
8.691667   --undefined--
8.701667   --undefined--
8.711667   --undefined--
8.721667   247.834797
8.731667   235.326319
8.741667   226.063280
8.751667   200.490637
8.761667   193.412293
8.771667   185.212376
8.781667   179.815535
8.791667   170.128985
8.801667   160.137905
8.811667   147.136104
8.821667   136.392946
8.831667   --undefined--
8.841667   --undefined--
8.851667   --undefined--
