Time_s   F0_Hz
0.021667   --undefined--
0.031667   --undefined--
0.041667   --undefined--
0.051667   --undefined--
0.061667   --undefined--
0.071667   --undefined--
0.081667   --undefined--
0.091667   --undefined--
0.101667   --undefined--
0.111667   --undefined--
0.121667   --undefined--
0.131667   --undefined--
0.141667   --undefined--
0.151667   --undefined--
0.161667   --undefined--
0.171667   --undefined--
0.181667   --undefined--
0.191667   --undefined--
0.201667   --undefined--
0.211667   --undefined--
0.221667   --undefined--
0.231667   --undefined--
0.241667   --undefined--
0.251667   --undefined--
0.261667   --undefined--
0.271667   --undefined--
0.281667   --undefined--
0.291667   --undefined--
0.301667   --undefined--
0.311667   --undefined--
0.321667   --undefined--
0.331667   --undefined--
0.341667   --undefined--
0.351667   --undefined--
0.361667   --undefined--
0.371667   --undefined--
0.381667   --undefined--
0.391667   --undefined--
0.401667   --undefined--
0.411667   --undefined--
0.421667   --undefined--
0.431667   --undefined--
0.441667   --undefined--
0.451667   --undefined--
0.461667   --undefined--
0.471667   --undefined--
0.481667   --undefined--
0.491667   --undefined--
0.501667   --undefined--
0.511667   --undefined--
0.521667   --undefined--
0.531667   --undefined--
0.541667   --undefined--
0.551667   --undefined--
0.561667   --undefined--
0.571667   --undefined--
0.581667   --undefined--
0.591667   --undefined--
0.601667   --undefined--
0.611667   --undefined--
0.621667   --undefined--
0.631667   --undefined--
0.641667   --undefined--
0.651667   --undefined--
0.661667   --undefined--
0.671667   --undefined--
0.681667   --undefined--
0.691667   --undefined--
0.701667   --undefined--
0.711667   --undefined--
0.721667   --undefined--
0.731667   --undefined--
0.741667   --undefined--
0.751667   --undefined--
0.761667   --undefined--
0.771667   --undefined--
0.781667   --undefined--
0.791667   --undefined--
0.801667   --undefined--
0.811667   --undefined--
0.821667   --undefined--
0.831667   --undefined--
0.841667   --undefined--
0.851667   --undefined--
0.861667   --undefined--
0.871667   --undefined--
0.881667   --undefined--
0.891667   --undefined--
0.901667   --undefined--
0.911667   --undefined--
0.921667   --undefined--
0.931667   --undefined--
0.941667   --undefined--
0.951667   --undefined--
0.961667   --undefined--
0.971667   --undefined--
0.981667   --undefined--
0.991667   --undefined--
1.001667   --undefined--
1.011667   --undefined--
1.021667   --undefined--
1.031667   --undefined--
1.041667   --undefined--
1.051667   --undefined--
1.061667   --undefined--
1.071667   --undefined--
1.081667   --undefined--
1.091667   --undefined--
1.101667   --undefined--
1.111667   --undefined--
1.121667   --undefined--
1.131667   --undefined--
1.141667   --undefined--
1.151667   --undefined--
1.161667   --undefined--
1.171667   --undefined--
1.181667   --undefined--
1.191667   --undefined--
1.201667   --undefined--
1.211667   --undefined--
1.221667   --undefined--
1.231667   --undefined--
1.241667   --undefined--
1.251667   --undefined--
1.261667   --undefined--
1.271667   --undefined--
1.281667   --undefined--
1.291667   --undefined--
1.301667   --undefined--
1.311667   --undefined--
1.321667   --undefined--
1.331667   --undefined--
1.341667   --undefined--
1.351667   --undefined--
1.361667   --undefined--
1.371667   --undefined--
1.381667   --undefined--
1.391667   --undefined--
1.401667   --undefined--
1.411667   --undefined--
1.421667   --undefined--
1.431667   --undefined--
1.441667   --undefined--
1.451667   --undefined--
1.461667   --undefined--
1.471667   --undefined--
1.481667   --undefined--
1.491667   --undefined--
1.501667   --undefined--
1.511667   --undefined--
1.521667   --undefined--
1.531667   --undefined--
1.541667   --undefined--
1.551667   --undefined--
1.561667   --undefined--
1.571667   --undefined--
1.581667   --undefined--
1.591667   --undefined--
1.601667   --undefined--
1.611667   --undefined--
1.621667   --undefined--
1.631667   --undefined--
1.641667   --undefined--
1.651667   --undefined--
1.661667   --undefined--
1.671667   --undefined--
1.681667   --undefined--
1.691667   --undefined--
1.701667   --undefined--
1.711667   --undefined--
1.721667   --undefined--
1.731667   --undefined--
1.741667   --undefined--
1.751667   --undefined--
1.761667   --undefined--
1.771667   --undefined--
1.781667   --undefined--
1.791667   --undefined--
1.801667   --undefined--
1.811667   --undefined--
1.821667   --undefined--
1.831667   --undefined--
1.841667   --undefined--
1.851667   --undefined--
1.861667   --undefined--
1.871667   --undefined--
1.881667   --undefined--
1.891667   --undefined--
1.901667   --undefined--
1.911667   --undefined--
1.921667   --undefined--
1.931667   --undefined--
1.941667   --undefined--
1.951667   --undefined--
1.961667   --undefined--
1.971667   --undefined--
1.981667   --undefined--
1.991667   --undefined--
2.001667   --undefined--
2.011667   --undefined--
2.021667   --undefined--
2.031667   --undefined--
2.041667   --undefined--
2.051667   --undefined--
2.061667   --undefined--
2.071667   --undefined--
2.081667   --undefined--
2.091667   --undefined--
2.101667   --undefined--
2.111667   --undefined--
2.121667   --undefined--
2.131667   --undefined--
2.141667   --undefined--
2.151667   --undefined--
2.161667   --undefined--
2.171667   --undefined--
2.181667   --undefined--
2.191667   --undefined--
2.201667   --undefined--
2.211667   --undefined--
2.221667   --undefined--
2.231667   --undefined--
2.241667   --undefined--
2.251667   --undefined--
2.261667   --undefined--
2.271667   --undefined--
2.281667   --undefined--
2.291667   --undefined--
2.301667   --undefined--
2.311667   --undefined--
2.321667   --undefined--
2.331667   --undefined--
2.341667   --undefined--
2.351667   --undefined--
2.361667   --undefined--
2.371667   --undefined--
2.381667   --undefined--
2.391667   --undefined--
2.401667   --undefined--
2.411667   --undefined--
2.421667   --undefined--
2.431667   --undefined--
2.441667   --undefined--
2.451667   --undefined--
2.461667   --undefined--
2.471667   --undefined--
2.481667   --undefined--
2.491667   --undefined--
2.501667   --undefined--
2.511667   --undefined--
2.521667   --undefined--
2.531667   --undefined--
2.541667   --undefined--
2.551667   --undefined--
2.561667   --undefined--
2.571667   --undefined--
2.581667   --undefined--
2.591667   --undefined--
2.601667   --undefined--
2.611667   --undefined--
2.621667   --undefined--
2.631667   --undefined--
2.641667   --undefined--
2.651667   --undefined--
2.661667   --undefined--
2.671667   --undefined--
2.681667   --undefined--
2.691667   --undefined--
2.701667   --undefined--
2.711667   --undefined--
2.721667   --undefined--
2.731667   --undefined--
2.741667   --undefined--
2.751667   --undefined--
2.761667   --undefined--
2.771667   --undefined--
2.781667   --undefined--
2.791667   --undefined--
2.801667   --undefined--
2.811667   --undefined--
2.821667   --undefined--
2.831667   --undefined--
2.841667   --undefined--
2.851667   --undefined--
2.861667   --undefined--
2.871667   --undefined--
2.881667   --undefined--
2.891667   --undefined--
2.901667   --undefined--
2.911667   --undefined--
2.921667   --undefined--
2.931667   --undefined--
2.941667   --undefined--
2.951667   --undefined--
2.961667   --undefined--
2.971667   --undefined--
2.981667   --undefined--
2.991667   --undefined--
3.001667   --undefined--
3.011667   --undefined--
3.021667   --undefined--
3.031667   --undefined--
3.041667   --undefined--
3.051667   --undefined--
3.061667   --undefined--
3.071667   --undefined--
3.081667   --undefined--
3.091667   --undefined--
3.101667   --undefined--
3.111667   --undefined--
3.121667   --undefined--
3.131667   --undefined--
3.141667   --undefined--
3.151667   --undefined--
3.161667   --undefined--
3.171667   --undefined--
3.181667   --undefined--
3.191667   --undefined--
3.201667   --undefined--
3.211667   --undefined--
3.221667   --undefined--
3.231667   --undefined--
3.241667   --undefined--
3.251667   --undefined--
3.261667   --undefined--
3.271667   --undefined--
3.281667   --undefined--
3.291667   --undefined--
3.301667   --undefined--
3.311667   --undefined--
3.321667   --undefined--
3.331667   --undefined--
3.341667   --undefined--
3.351667   --undefined--
3.361667   --undefined--
3.371667   --undefined--
3.381667   --undefined--
3.391667   --undefined--
3.401667   --undefined--
3.411667   --undefined--
3.421667   --undefined--
3.431667   --undefined--
3.441667   --undefined--
3.451667   --undefined--
3.461667   --undefined--
3.471667   --undefined--
3.481667   --undefined--
3.491667   --undefined--
3.501667   --undefined--
3.511667   --undefined--
3.521667   --undefined--
3.531667   --undefined--
3.541667   --undefined--
3.551667   --undefined--
3.561667   --undefined--
3.571667   --undefined--
3.581667   --undefined--
3.591667   --undefined--
3.601667   --undefined--
3.611667   --undefined--
3.621667   --undefined--
3.631667   --undefined--
3.641667   --undefined--
3.651667   --undefined--
3.661667   --undefined--
3.671667   --undefined--
3.681667   --undefined--
3.691667   --undefined--
3.701667   --undefined--
3.711667   --undefined--
3.721667   --undefined--
3.731667   --undefined--
3.741667   --undefined--
3.751667   --undefined--
3.761667   --undefined--
3.771667   --undefined--
3.781667   --undefined--
3.791667   --undefined--
3.801667   --undefined--
3.811667   --undefined--
3.821667   --undefined--
3.831667   --undefined--
3.841667   --undefined--
3.851667   --undefined--
3.861667   --undefined--
3.871667   --undefined--
3.881667   --undefined--
3.891667   --undefined--
3.901667   --undefined--
3.911667   --undefined--
3.921667   --undefined--
3.931667   --undefined--
3.941667   --undefined--
3.951667   --undefined--
3.961667   --undefined--
3.971667   --undefined--
3.981667   --undefined--
3.991667   --undefined--
4.001667   --undefined--
4.011667   --undefined--
4.021667   --undefined--
4.031667   --undefined--
4.041667   --undefined--
4.051667   --undefined--
4.061667   --undefined--
4.071667   --undefined--
4.081667   --undefined--
4.091667   --undefined--
4.101667   --undefined--
4.111667   --undefined--
4.121667   --undefined--
4.131667   --undefined--
4.141667   --undefined--
4.151667   --undefined--
4.161667   --undefined--
4.171667   --undefined--
4.181667   --undefined--
4.191667   --undefined--
4.201667   --undefined--
4.211667   --undefined--
4.221667   --undefined--
4.231667   --undefined--
4.241667   --undefined--
4.251667   --undefined--
4.261667   --undefined--
4.271667   --undefined--
4.281667   --undefined--
4.291667   --undefined--
4.301667   --undefined--
4.311667   --undefined--
4.321667   --undefined--
4.331667   --undefined--
4.341667   --undefined--
4.351667   --undefined--
4.361667   --undefined--
4.371667   --undefined--
4.381667   --undefined--
4.391667   --undefined--
4.401667   --undefined--
4.411667   --undefined--
4.421667   --undefined--
4.431667   --undefined--
4.441667   --undefined--
4.451667   --undefined--
4.461667   --undefined--
4.471667   --undefined--
4.481667   --undefined--
4.491667   --undefined--
4.501667   --undefined--
4.511667   --undefined--
4.521667   --undefined--
4.531667   375.300177
4.541667   371.623249
4.551667   371.613274
4.561667   370.003420
4.571667   366.865105
4.581667   366.167718
4.591667   367.604086
4.601667   368.910712
4.611667   368.711205
4.621667   367.519516
4.631667   367.545032
4.641667   367.644518
4.651667   368.409489
4.661667   368.264992
4.671667   368.591748
4.681667   368.492293
4.691667   --undefined--
4.701667   --undefined--
4.711667   --undefined--
4.721667   --undefined--
4.731667   --undefined--
4.741667   --undefined--
4.751667   --undefined--
4.761667   --undefined--
4.771667   --undefined--
4.781667   --undefined--
4.791667   --undefined--
4.801667   --undefined--
4.811667   --undefined--
4.821667   --undefined--
4.831667   --undefined--
4.841667   287.347386
4.851667   288.944081
4.861667   292.208841
4.871667   289.483166
4.881667   286.394647
4.891667   288.020318
4.901667   288.526701
4.911667   288.102267
4.921667   287.994921
4.931667   288.338606
4.941667   288.147679
4.951667   288.372171
4.961667   288.440994
4.971667   288.457117
4.981667   288.217035
4.991667   288.322099
5.001667   288.821676
5.011667   288.589174
5.021667   288.400149
5.031667   288.357324
5.041667   288.464302
5.051667   --undefined--
5.061667   --undefined--
5.071667   --undefined--
5.081667   --undefined--
5.091667   --undefined--
5.101667   --undefined--
5.111667   --undefined--
5.121667   --undefined--
5.131667   --undefined--
5.141667   --undefined--
5.151667   --undefined--
5.161667   380.244118
5.171667   372.883858
5.181667   372.481511
5.191667   372.673519
5.201667   370.196033
5.211667   367.076049
5.221667   366.098024
5.231667   367.558524
5.241667   368.927449
5.251667   368.281257
5.261667   367.212037
5.271667   367.272922
5.281667   367.787490
5.291667   368.349071
5.301667   368.299129
5.311667   368.429923
5.321667   368.362400
5.331667   --undefined--
5.341667   --undefined--
5.351667   --undefined--
5.361667   --undefined--
5.371667   --undefined--
5.381667   --undefined--
5.391667   --undefined--
5.401667   --undefined--
5.411667   --undefined--
5.421667   --undefined--
5.431667   --undefined--
5.441667   --undefined--
5.451667   --undefined--
5.461667   --undefined--
5.471667   --undefined--
5.481667   --undefined--
5.491667   --undefined--
5.501667   --undefined--
5.511667   --undefined--
5.521667   --undefined--
5.531667   --undefined--
5.541667   --undefined--
5.551667   --undefined--
5.561667   --undefined--
5.571667   --undefined--
5.581667   --undefined--
5.591667   374.779276
5.601667   371.449597
5.611667   372.929200
5.621667   372.096982
5.631667   368.320777
5.641667   366.000312
5.651667   366.716600
5.661667   368.298752
5.671667   368.810763
5.681667   367.977334
5.691667   367.501151
5.701667   367.388783
5.711667   368.300328
5.721667   368.597310
5.731667   368.830989
5.741667   --undefined--
5.751667   --undefined--
5.761667   --undefined--
5.771667   --undefined--
5.781667   --undefined--
5.791667   --undefined--
5.801667   --undefined--
5.811667   --undefined--
5.821667   --undefined--
5.831667   --undefined--
5.841667   --undefined--
5.851667   --undefined--
5.861667   --undefined--
5.871667   --undefined--
5.881667   375.578771
5.891667   370.621273
5.901667   371.436928
5.911667   371.642141
5.921667   369.010129
5.931667   366.948667
5.941667   366.264064
5.951667   368.053267
5.961667   368.995036
5.971667   368.412282
5.981667   367.920562
5.991667   367.024486
6.001667   367.619057
6.011667   368.405503
6.021667   --undefined--
6.031667   --undefined--
6.041667   --undefined--
6.051667   --undefined--
6.061667   --undefined--
6.071667   --undefined--
6.081667   --undefined--
6.091667   --undefined--
6.101667   --undefined--
6.111667   --undefined--
6.121667   --undefined--
6.131667   --undefined--
6.141667   --undefined--
6.151667   --undefined--
6.161667   --undefined--
6.171667   --undefined--
6.181667   --undefined--
6.191667   --undefined--
6.201667   --undefined--
6.211667   379.662580
6.221667   370.857752
6.231667   371.991987
6.241667   372.287776
6.251667   370.280284
6.261667   366.477726
6.271667   365.929660
6.281667   368.036771
6.291667   369.233727
6.301667   368.393219
6.311667   367.726614
6.321667   367.440862
6.331667   367.575029
6.341667   368.283551
6.351667   368.550024
6.361667   --undefined--
6.371667   --undefined--
6.381667   --undefined--
6.391667   --undefined--
6.401667   --undefined--
6.411667   --undefined--
6.421667   --undefined--
6.431667   318.262523
6.441667   311.798055
6.451667   322.435020
6.461667   325.430168
6.471667   326.364457
6.481667   326.204225
6.491667   327.306668
6.501667   326.947716
6.511667   327.182483
6.521667   327.773259
6.531667   328.530766
6.541667   327.818374
6.551667   --undefined--
6.561667   --undefined--
6.571667   --undefined--
6.581667   --undefined--
6.591667   --undefined--
6.601667   --undefined--
6.611667   286.673628
6.621667   288.976611
6.631667   291.097581
6.641667   288.269796
6.651667   286.850441
6.661667   288.215213
6.671667   288.903238
6.681667   191.532646
6.691667   187.097952
6.701667   186.914954
6.711667   187.366264
6.721667   147.054319
6.731667   146.189930
6.741667   146.163714
6.751667   146.557587
6.761667   146.782798
6.771667   146.424742
6.781667   146.188306
6.791667   145.869828
6.801667   145.813530
6.811667   145.855410
6.821667   184.985552
6.831667   183.238027
6.841667   189.172006
6.851667   189.532318
6.861667   186.760047
6.871667   184.440492
6.881667   186.847441
6.891667   187.909601
6.901667   187.542762
6.911667   186.259742
6.921667   185.962620
6.931667   187.298075
6.941667   187.518148
6.951667   187.356344
6.961667   187.480059
6.971667   187.403171
6.981667   187.184740
6.991667   187.342980
7.001667   187.453933
7.011667   187.160870
7.021667   --undefined--
7.031667   --undefined--
7.041667   --undefined--
7.051667   --undefined--
7.061667   373.657322
7.071667   372.980270
7.081667   373.528970
7.091667   370.808867
7.101667   366.861567
7.111667   366.028327
7.121667   367.894834
7.131667   369.443844
7.141667   368.363919
7.151667   367.527426
7.161667   367.522277
7.171667   367.972600
7.181667   368.381343
7.191667   367.518958
7.201667   368.083682
7.211667   --undefined--
7.221667   --undefined--
7.231667   --undefined--
7.241667   --undefined--
7.251667   --undefined--
7.261667   --undefined--
7.271667   --undefined--
7.281667   --undefined--
7.291667   --undefined--
7.301667   --undefined--
7.311667   288.838875
7.321667   290.050299
7.331667   292.380309
7.341667   288.999341
7.351667   286.250245
7.361667   287.960770
7.371667   288.686218
7.381667   288.731082
7.391667   288.158692
7.401667   287.529670
7.411667   288.058665
7.421667   288.589538
7.431667   288.388968
7.441667   287.916275
7.451667   287.675620
7.461667   288.414662
7.471667   288.871738
7.481667   288.510342
7.491667   288.528059
7.501667   288.185640
7.511667   288.666900
7.521667   287.806406
7.531667   292.160281
7.541667   291.552604
7.551667   286.231723
7.561667   287.474097
7.571667   288.498214
7.581667   288.708199
7.591667   288.227833
7.601667   288.067648
7.611667   287.773246
7.621667   288.549719
7.631667   288.517156
7.641667   288.705841
7.651667   288.556982
7.661667   288.155665
7.671667   288.670039
7.681667   288.747002
7.691667   288.596043
7.701667   288.262006
7.711667   --undefined--
7.721667   --undefined--
7.731667   --undefined--
7.741667   --undefined--
7.751667   --undefined--
7.761667   --undefined--
7.771667   --undefined--
7.781667   --undefined--
7.791667   --undefined--
7.801667   --undefined--
7.811667   --undefined--
7.821667   --undefined--
7.831667   --undefined--
7.841667   --undefined--
7.851667   --undefined--
7.861667   --undefined--
7.871667   372.324976
7.881667   370.650272
7.891667   372.398186
7.901667   370.622074
7.911667   366.871483
7.921667   366.166961
7.931667   367.425867
7.941667   369.027691
7.951667   368.857004
7.961667   367.832278
7.971667   367.596111
7.981667   367.630789
7.991667   368.176454
8.001667   --undefined--
8.011667   --undefined--
8.021667   --undefined--
8.031667   --undefined--
8.041667   --undefined--
8.051667   --undefined--
8.061667   --undefined--
8.071667   --undefined--
8.081667   --undefined--
8.091667   --undefined--
8.101667   --undefined--
8.111667   --undefined--
8.121667   --undefined--
8.131667   --undefined--
8.141667   373.681848
8.151667   370.804348
8.161667   372.597338
8.171667   371.910839
8.181667   369.012936
8.191667   366.786253
8.201667   366.972759
8.211667   368.649401
8.221667   368.777821
8.231667   368.027329
8.241667   367.897925
8.251667   368.049186
8.261667   368.123712
8.271667   367.771270
8.281667   368.324111
8.291667   --undefined--
8.301667   --undefined--
8.311667   --undefined--
8.321667   --undefined--
8.331667   --undefined--
8.341667   --undefined--
8.351667   287.371825
8.361667   291.064343
8.371667   291.891154
8.381667   287.363868
8.391667   286.724894
8.401667   288.507625
8.411667   288.767426
8.421667   288.310408
8.431667   288.415212
8.441667   287.966663
8.451667   288.347239
8.461667   288.608192
8.471667   288.495563
8.481667   190.723187
8.491667   186.031612
8.501667   185.709873
8.511667   186.594914
8.521667   185.878941
8.531667   184.280172
8.541667   183.880438
8.551667   184.246306
8.561667   184.763605
8.571667   184.596260
8.581667   184.899224
8.591667   189.043637
8.601667   193.796151
8.611667   193.962225
8.621667   190.826108
8.631667   191.116409
8.641667   192.020949
8.651667   192.345563
8.661667   192.176550
8.671667   191.856285
8.681667   191.599811
8.691667   192.152589
8.701667   192.401677
8.711667   192.134943
8.721667   192.040349
8.731667   191.871818
8.741667   192.181289
8.751667   192.411555
8.761667   192.189165
8.771667   192.030272
8.781667   192.312874
8.791667   --undefined--
8.801667   --undefined--
8.811667   --undefined--
8.821667   374.642884
8.831667   371.348101
8.841667   373.089521
