Time_s   F0_Hz
11.107312   --undefined--
11.117312   --undefined--
11.127312   --undefined--
11.137312   --undefined--
11.147312   --undefined--
11.157312   --undefined--
11.167312   --undefined--
11.177312   --undefined--
11.187312   --undefined--
11.197312   --undefined--
11.207312   --undefined--
11.217312   --undefined--
11.227312   --undefined--
11.237312   --undefined--
11.247312   --undefined--
11.257312   --undefined--
11.267312   --undefined--
11.277312   --undefined--
11.287312   --undefined--
11.297312   --undefined--
11.307312   --undefined--
11.317312   --undefined--
11.327312   --undefined--
11.337312   --undefined--
11.347312   --undefined--
11.357312   --undefined--
11.367312   --undefined--
11.377312   --undefined--
11.387312   --undefined--
11.397312   --undefined--
11.407312   --undefined--
11.417312   --undefined--
11.427312   --undefined--
11.437312   --undefined--
11.447312   --undefined--
11.457312   --undefined--
11.467312   --undefined--
11.477312   --undefined--
11.487312   --undefined--
11.497312   --undefined--
11.507312   --undefined--
11.517312   --undefined--
11.527312   --undefined--
11.537312   --undefined--
11.547312   --undefined--
11.557312   --undefined--
11.567312   --undefined--
11.577312   --undefined--
11.587312   --undefined--
11.597312   --undefined--
11.607312   --undefined--
11.617312   163.794391
11.627312   163.394551
11.637312   164.188620
11.647312   164.102268
11.657312   164.583823
11.667312   166.511982
11.677312   168.759531
11.687312   169.506364
11.697312   170.711587
11.707312   171.983727
11.717312   172.916705
11.727312   176.115625
11.737312   178.888466
11.747312   180.795502
11.757312   181.504554
11.767312   181.612956
11.777312   181.122468
11.787312   181.135523
11.797312   181.594054
11.807312   182.103673
11.817312   --undefined--
11.827312   --undefined--
11.837312   --undefined--
11.847312   --undefined--
11.857312   --undefined--
11.867312   --undefined--
11.877312   --undefined--
11.887312   --undefined--
11.897312   --undefined--
11.907312   --undefined--
11.917312   --undefined--
11.927312   --undefined--
11.937312   --undefined--
11.947312   --undefined--
11.957312   --undefined--
11.967312   --undefined--
11.977312   --undefined--
11.987312   --undefined--
11.997312   --undefined--
12.007312   --undefined--
12.017312   --undefined--
12.027312   241.452087
12.037312   241.730826
12.047312   241.062503
12.057312   240.129462
12.067312   244.461426
12.077312   245.513058
12.087312   244.237504
12.097312   244.194071
12.107312   245.189411
12.117312   244.789596
12.127312   243.267851
12.137312   242.693115
12.147312   243.625384
12.157312   243.163187
12.167312   239.916872
12.177312   241.198186
12.187312   --undefined--
12.197312   --undefined--
12.207312   --undefined--
12.217312   --undefined--
12.227312   --undefined--
12.237312   --undefined--
12.247312   --undefined--
12.257312   --undefined--
12.267312   --undefined--
12.277312   --undefined--
12.287312   --undefined--
12.297312   --undefined--
12.307312   --undefined--
12.317312   --undefined--
12.327312   --undefined--
12.337312   --undefined--
12.347312   --undefined--
12.357312   --undefined--
12.367312   --undefined--
12.377312   --undefined--
12.387312   --undefined--
12.397312   --undefined--
12.407312   --undefined--
12.417312   --undefined--
12.427312   --undefined--
12.437312   --undefined--
12.447312   --undefined--
12.457312   --undefined--
12.467312   --undefined--
12.477312   --undefined--
12.487312   --undefined--
12.497312   --undefined--
12.507312   --undefined--
12.517312   --undefined--
12.527312   --undefined--
12.537312   --undefined--
12.547312   --undefined--
12.557312   --undefined--
12.567312   --undefined--
12.577312   --undefined--
12.587312   --undefined--
12.597312   --undefined--
12.607312   --undefined--
